part_number,name_he,name_en,description,manufacturer,category,barcode,price,cost,currency,vat_included,stock_qty,min_stock,location,weight_kg,dimensions,warranty_months,side,part_type,image_url,notes,is_active,cross_refs,fitments
LAK 436,מסנן מזגן OUTLANDER,,,MAHLE,מסננים,,15.99,,GBP,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מיצובישי:OUTLANDER:2012:2021
DCF466P,מסנן מזגן SWIFT,,,DENSO,מסננים,,7.59,,GBP,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:95860-62J00:Suzuki,סוזוקי:SWIFT:2010:2017
CUK 2040,מסנן מזגן SWIFT,,,MANN-FILTER,מסננים,,,,,,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:95861-71L00:Suzuki,סוזוקי:SWIFT:2010:2017
CU 2040,מסנן מזגן SWIFT,,,MANN-FILTER,מסננים,,,,,,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:95861-71L00:Suzuki,סוזוקי:SWIFT:2010:2017
QFL0417,מסנן שמן RAV4,,,QUINTON HAZELL,מסננים,,6.59,,GBP,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:RAV4:2018:2026
26-2139,מסנן שמן RAV4,,,MAXGEAR,מסננים,,7.59,,GBP,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:RAV4:2018:2026
DCF386P,מסנן מזגן RAV4,,,DENSO,מסננים,,8.29,,GBP,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:87139-YZZ33:Toyota,טויוטה:RAV4:2018:2026; טויוטה:C-HR:2016:2026
6080085,מסנן מזגן RAV4,,,KAMOKA,מסננים,,11.99,,GBP,1,,,,,,,,cabin_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:RAV4:2018:2026
COF100110S,מסנן שמן SPORTAGE,,,CHAMPION,מסננים,,4.29,,GBP,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SPORTAGE:2015:2022
23.583.00,מסנן שמן SPORTAGE,,,UFI,מסננים,,6.29,,GBP,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SPORTAGE:2015:2022
OE 666/3,מסנן שמן QASHQAI,,,FILTRON,מסננים,,7.59,,GBP,1,,,,,,,,oil_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,ניסאן:QASHQAI:2013:2021
18685,מסנן אוויר TUCSON,,,MEAT & DORIA,מסננים,,10.99,,GBP,1,,,,,,,,air_filter,,נתוני הדגמה - נמשכו מקטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,OEM:28113-D3300:Hyundai,יונדאי:TUCSON:2016:2020; קיה:SPORTAGE:2015:2022
