part_number,name_he,name_en,manufacturer,category,side,part_type,notes,is_active,cross_refs,fitments
272771HDKE,מסנן מזגן — ניסאן MICRA,מסנן מזגן,Nissan,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:272771HDKE:Nissan,ניסאן:MICRA:2010:2017:1.2 HR12DE
15208-65F00,מסנן שמן — ניסאן MICRA,מסנן שמן,Nissan,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:15208-65F00:Nissan,ניסאן:MICRA:2010:2017:1.2 HR12DE
15208-65F0A,מסנן שמן — ניסאן MICRA,מסנן שמן,Nissan,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:15208-65F0A:Nissan,ניסאן:MICRA:2010:2017:1.2 HR12DE
15208-65F0C,מסנן שמן — ניסאן MICRA,מסנן שמן,Nissan,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:15208-65F0C:Nissan,ניסאן:MICRA:2010:2017:1.2 HR12DE
16546-4BA1A,מסנן אוויר — ניסאן QASHQAI,מסנן אוויר,Nissan,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:16546-4BA1A:Nissan,ניסאן:QASHQAI:2013:2021
16546-4BC1A,מסנן אוויר — ניסאן QASHQAI,מסנן אוויר,Nissan,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:16546-4BC1A:Nissan,ניסאן:QASHQAI:2013:2021
272772621R,מסנן מזגן — ניסאן X-TRAIL,מסנן מזגן,Nissan,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:272772621R:Nissan,ניסאן:X-TRAIL:2014:2022:2.0 MR20DD
16546AA090,מסנן אוויר — סובארו XV,מסנן אוויר,Subaru,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:16546AA090:Subaru,סובארו:XV:2012:2023:1.6 FB16
72880FG000,מסנן מזגן — סובארו XV,מסנן מזגן,Subaru,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:72880FG000:Subaru,סובארו:XV:2012:2023:1.6 FB16
15208AA15A,מסנן שמן — סובארו XV,מסנן שמן,Subaru,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:15208AA15A:Subaru,סובארו:XV:2012:2023:1.6 FB16
